быть v 12160.7
год s 3727.5
мочь v 2912.3
человек s 2723.0
сказать v 2396.6
еще adv 2323.9
уже adv 2179.2
время s 2015.7
говорить v 1755.0
знать v 1713.8
стать v 1621.8
дело s 1412.1
жизнь s 1389.8
очень adv 1286.8
день s 1258.4
новый a 1217.5
рука s 1200.6
раз s 1131.8
можно adv 1125.9
работа s 1058.3
надо adv 993.2
хотеть v 991.3
слово s 967.9
идти v 957.1
большой a 944.4
должен a 944.2
место s 926.6
иметь v 906.7
лицо s 878.0
друг s 874.2
нет adv 874.0
глаз s 857.6
тоже adv 841.5
видеть v 818.2
вопрос s 805.8
дом s 792.6
сторона s 768.3
думать v 755.5
сделать v 743.5
страна s 725.7
жить v 725.5
мир s 714.7
последний a 712.6
случай s 709.7
голова s 709.4
более adv 706.2
делать v 701.1
смотреть v 667.2
ребенок s 658.3
конечно adv 647.3
сила s 645.8
российский a 644.6
конец s 634.7
вид s 620.1
система s 617.8
работать v 611.2
понять v 588.2
пойти v 587.2
часть s 585.4
спросить v 573.9
город s 573.4
дать v 573.1
также adv 569.9
понимать v 559.7
получить v 557.7
отношение s 557.4
сидеть v 538.1
женщина s 533.3
оказаться v 531.9
русский a 530.5
взять v 525.8
прийти v 523.3
являться v 522.9
деньги s 512.4
вдруг adv 503.2
любить v 503.1
стоить v 501.9
почти adv 501.7
земля s 494.4
общий a 492.4
машина s 490.4
сразу adv 486.0
хорошо adv 485.7
вода s 484.8
отец s 484.1
высокий a 483.3
остаться v 482.7
выйти v 480.9
проблема s 474.9
начать v 473.3
хороший a 471.4
час s 468.1
сегодня adv 463.5
право s 461.4
совсем adv 460.5
нога s 459.2
считать v 455.3
главный a 454.6
решение s 453.4
увидеть v 452.4
дверь s 450.8
казаться v 448.2
образ s 445.9
писать v 444.3
история s 443.9
лучший a 443.2
власть s 435.6
закон s 433.4
война s 425.9
бог s 425.4
голос s 424.5
найти v 424.1
стоять v 419.3
вообще adv 417.6
тысяча s 416.0
больше adv 415.3
вместе adv 414.3
маленький a 414.1
книга s 413.9
решить v 409.7
возможность s 407.5
результат s 403.1
ночь s 402.8
стол s 402.5
имя s 401.7
область s 400.2
молодой a 400.0
пройти v 398.4
например adv 398.0
статья s 395.0
число s 393.5
компания s 392.7
